epoch,learning_rate,train_iou,train_precision,train_recall,train_f1,train_mae,train_loss,train_bce,train_soft_iou,val_iou,val_precision,val_recall,val_f1,val_mae,val_loss,val_bce,val_soft_iou
1,0.0005,0.39028600407302927,0.5760238157937286,0.6128597946560711,0.523081794922505,0.3028172258280833,1.2661136163484066,0.7545666326185979,0.3179373572288303,0.5001534709375198,0.6560838230668682,0.7224084828814415,0.6351109279753411,0.2052093526884301,0.8766400989604323,0.42236423033149273,0.39429884659100883
2,0.0005,0.5345924634670992,0.6724268433150895,0.7585092318604846,0.6637339470802097,0.21087500020451502,0.8737978412908152,0.4602124297618866,0.44855278627588113,0.5960411468189056,0.6874378196997185,0.8367385680544867,0.712738424131315,0.15362650110092882,0.6991851076687852,0.3305382219283548,0.5084708151343751
3,0.0005,0.609630902710311,0.7305226897755894,0.7995771370677773,0.7258415034057897,0.16212769065428217,0.6911649417658464,0.34175688732654674,0.5341225942121733,0.6151796910044265,0.7018630847538987,0.8338079628062575,0.7241474508422695,0.15205406315930903,0.6541976355118294,0.2837671506894778,0.506092686155071
4,0.0005,0.6497546237543088,0.7601949935003158,0.8243410117473078,0.7571471658321696,0.13998820605901402,0.6068647678948323,0.2925302889806415,0.5808873620601969,0.653468153860471,0.7167253126836803,0.8800894597621813,0.7563529206465368,0.12511920342094277,0.5698803242755263,0.24988133256157782,0.5733346767621498
5,0.0005,0.6703376379581767,0.7769383952814505,0.8355045438687736,0.772116653263022,0.12900223216332427,0.5726300074419844,0.27660506083330977,0.6053000692927509,0.6867595613002777,0.7796281461846338,0.8518473473313737,0.7825582598986691,0.10127665309158906,0.49086102394208514,0.2100609756802043,0.6255999329971941
6,0.0005,0.6910265639506349,0.7943555886592341,0.8436704698177653,0.7891064051094405,0.11833853598581541,0.5300692344149318,0.252169795003506,0.6294674143878691,0.7030836188629882,0.7784127968631379,0.8755566461445534,0.7930480221362963,0.09806211856640365,0.46788986578379593,0.1980588496854044,0.6402253135018152
7,0.0005,0.7049512885907374,0.8012529385417974,0.8561726020235534,0.7993247302081606,0.11144752753437112,0.5051108484530668,0.24019857251316035,0.6467836312635229,0.6776292481242794,0.7382116836227782,0.8943944210059023,0.7725009783490063,0.11186697645342514,0.9763229177014469,0.6936876078786915,0.6231529169703183
8,0.0005,0.7091405386880997,0.8055514868465039,0.8564976549586025,0.8038157755519272,0.10918311186886709,0.511639226631287,0.24980326578978004,0.6508853858545286,0.714109963341935,0.7970041420361768,0.8695478504651213,0.8046471125459018,0.09064134498675393,0.45063591932188973,0.19486588826530601,0.6589732894750491
9,0.0005,0.7263858369512296,0.8194489964651406,0.8661946852929001,0.8171429330712064,0.10143482177902799,0.4708090849972646,0.2240796730824567,0.6710274509333689,0.7166935866826201,0.7738936527134621,0.9081730062830938,0.8041026188086157,0.09234484762259543,0.46878128488586374,0.2219646803218208,0.6709111937104839
10,0.0005,0.7362084548845204,0.8276567622499729,0.8683597805521904,0.8244610023936001,0.09594907210507524,0.4466037800333916,0.20947932699404725,0.6838340617976058,0.7363693885607262,0.8174113655743533,0.8780391608199029,0.8206080496311188,0.08057842689425979,0.4115304727464506,0.17326484840006046,0.682312500803438
11,0.0005,0.7451618523116506,0.8345722868683141,0.8732725726573839,0.8312851950881678,0.0917696200106122,0.43299164533615114,0.20366910989131404,0.6942366195599967,0.7314799089137822,0.808971153546686,0.8787418175233553,0.8163324904768434,0.08141400580843018,0.4258908822316013,0.18829040862109564,0.6831993677028237
12,0.0005,0.7518683253953217,0.8391806340873789,0.8782241749544756,0.8355107525291793,0.0883501412370883,0.41965522726741405,0.19684587489027497,0.7029208630815559,0.7373466512111768,0.8080633760315098,0.890272171121754,0.8199316442829289,0.0844007232417799,0.4151309855180244,0.17598776100841287,0.6811423669122669
13,0.0005,0.7608551405985421,0.8457752026986638,0.8818837565238322,0.8431839731636397,0.08428378133598817,0.4043042785093325,0.1888888707182823,0.712779455884881,0.758707583767094,0.8297874935685772,0.8978328868134381,0.8384998301937155,0.07196536272355955,0.37931243238383777,0.1654018389239703,0.714785876339429
14,0.0005,0.7677010565504021,0.851727349823768,0.8845904759529534,0.848207206551088,0.08078880853609208,0.39149371949904554,0.18282528294882644,0.7217754183996709,0.7550013820602469,0.821745171938857,0.8987817176400799,0.8342655215361346,0.07226481175126687,0.39272386101010726,0.17823914678333558,0.7140203824598496
15,0.0005,0.7713239792290084,0.8547234229429053,0.8865412927767552,0.8504466480727589,0.07885506627346398,0.3821133045537756,0.17704263175982948,0.7265724363458266,0.7495819375123063,0.8166239359607436,0.8982524802423504,0.8308581317940803,0.0730640455978374,0.39503107158696815,0.18124560182531402,0.7149527072906494
16,0.0005,0.7781873023619346,0.8598206293036085,0.8880450317181579,0.8568139235907738,0.07559742722489418,0.3697080902768931,0.17094028899975872,0.7349762649492386,0.7596758853082788,0.8185836056323901,0.9090592440677016,0.8388764764348121,0.07091426418150125,0.3751088526763328,0.16390504310392354,0.7183949216587903
17,0.0005,0.7826552877513641,0.8620214822314202,0.8925622061414457,0.8599749447008885,0.0737077309122873,0.36102660019463356,0.16653588425128832,0.7406790458171739,0.7532533839957355,0.8276283312333773,0.8899297228414719,0.8351863291982102,0.07235984978814648,0.38296122879606403,0.1644492625730903,0.7086507126893082
18,0.0005,0.7879101213183972,0.8667682375601672,0.8936721506468747,0.8632341445257904,0.07089466499762798,0.3517649801061788,0.16192413617164716,0.7468788753955736,0.7679404073382077,0.8363405241541666,0.9021144746101066,0.844921543173594,0.06746883955720352,0.3661941233767222,0.16394870069949594,0.7303394364984068
19,0.0005,0.7940847086250236,0.8706265502675957,0.8974925453728492,0.8681729039795901,0.06868142308308443,0.3419215781535577,0.1573545621704618,0.7539106458261472,0.7623201175911786,0.834543429417153,0.8950431816381951,0.8388139250343793,0.06993587163264213,0.3772692695668299,0.17161343570747603,0.7257922201940458
20,0.0005,0.7948218263398616,0.8714612578908237,0.8976828439957505,0.869033373298995,0.06768617838894556,0.3384565887429299,0.1555131664434704,0.7560754370470659,0.7734643098426192,0.8542540747008912,0.8911721522677435,0.8480232994850367,0.06531706508504201,0.3505985557216488,0.14846548182915334,0.7304892352182571
21,0.0005,0.799881479674523,0.8754455267179997,0.9013155044765647,0.8718696162897512,0.06596279213734724,0.33064644693234646,0.15165524266181735,0.7613450610090833,0.7681898719643894,0.8374953649631919,0.8997233440614727,0.8433944350236082,0.06419968353711987,0.36529118741211825,0.16822042683624241,0.7372389872596689
22,0.0005,0.8055263190094484,0.8791742965059542,0.9032710954464903,0.8763901104183373,0.06342882847567217,0.32140581080672936,0.14740170307115677,0.7679945232671335,0.7811113698025273,0.865645995695297,0.887706652896045,0.855709726679815,0.059214809054687415,0.34108644203372196,0.1544764820894558,0.7511867182712032
23,0.0005,0.8075920790926032,0.8814181460371805,0.9035904491713288,0.8779216124158387,0.06236409252526563,0.31604211235265117,0.14446218614184528,0.7712267648408172,0.7737583297572724,0.8351123471782632,0.9098735843619256,0.8489190617652789,0.06490694087202827,0.35958120073765926,0.1642843013093488,0.7396041334491886
24,0.0005,0.8111204603833889,0.8849191024762775,0.904000638974916,0.8804196812909677,0.0605776846408844,0.30914006402459715,0.14049400390014735,0.775138586529898,0.7810578705513314,0.8563783025904877,0.8955368799706028,0.8538591812734735,0.05891187286183034,0.33636235108930773,0.14988153195646528,0.7513589091496925
25,0.0005,0.813741735471498,0.8857087546969773,0.9060891785752883,0.8820899049076465,0.05928181694735081,0.3039670708529446,0.1380558285390565,0.7787850102372126,0.7791070427796613,0.8455228948429839,0.9036494375091709,0.853407525852935,0.061999965242225015,0.3453695072907291,0.153630964355926,0.7443486088759279
